id,summarized,text,root,length
dhsuj7,1,The clothes I wear really depend on my mood.,depend,10
8dzf37,0,Has anyone ever lived next to a hospital?,live,9
fb7123,0,Anyone here live in a highrise?,live,7
qao7zt,0,Have you ever lived in a neighborhood like this one?,live,11
6szosb,0,Ever stayed in a hostel ?,stay,6
9jspfr,1,Anybody live there?,live,4
9aag75,1,Has anyone worked at a haunted house before?,work,9
8lpyve,0,Any of you guys visit public houses often?,visit,9
7b0r5t,0,Have you ever gone to see an old house of yours that’s gone up for sale?,go,18
88m5eu,0,Have you ever had a really good nurse?,have,9
g4tfsa,0,Has anyone else’s apartment building blocked all visitors except residents during this pandemic?,block,15
dy96pj,0,I think memes are a VERY powerful form of advertising,think,10
e3i6vq,0,Memes sometimes confuse me,confuse,4
by08sx,0,Can we just talk about memes for a second?,talk,10
7oshb0,0,I understand memes now.,understand,5
knljw2,1,"If memes didn’t exist, I would have deleted social media long ago.",delete,15
8yprdb,0,I need some memes STAT,need,5
823u5o,0,Why/Why aren't memes the future of online comedy?,meme,12
l3w0rz,0,Bernie memes,meme,2
gnzmdx,0,Thank God for the memes!,thank,6
9b8v8i,0,"I didn't realise how hard it is to explain what a meme is, until I tried to teach my mom.",realise,23
