id,summarized,text,root,length
7lxx43,1,How is everyone else spending Christmas Eve?,spend,8
a8ydtu,0,I'm spending a new year's eve alone...,spend,10
eicfll,0,Anybody else spending New Years alone?,spend,7
ef8ai2,0,How are you spending Christmas Eve?,spend,7
k1keak,0,Anyone else spending Thanksgiving alone because of COVID concerns and feeling lonely?,spend,13
e31ms7,0,Who else is spending the day alone?,spend,8
efpsx7,1,Anyone else spending Christmas and New Years alone this year?,spend,11
eicxv3,1,I spent Christmas and now spending NYE and NY alone.,spend,11
ab7ipu,1,Anyone else spending new years alone?,spend,7
kjifum,0,Anyone else spending Christmas alone?,spend,6
75o0iq,0,"I'm feeling kinda sad, need something to take my mind off of things",feel,15
8gvb45,1,Feeling kinda bummed out right now and want to take my mind off things.,feel,15
grj6wb,0,Going through a very rough break up and very desperate to distract my mind.,go,15
9hk5ye,0,I need something to distract me from my anxiety that’s been really bad today.,need,16
5on4s6,0,Need to take my mind off things.,need,8
7au2ud,1,I got some bad news today and kind of need a distraction.,get,13
7d7gz8,1,I'm having a crazy stressful week and I need to decompress.,have,13
8fh409,0,Just need to get my mind off of everything...,need,10
cm0i6c,0,i need to take my mind off something,need,8
5xezt1,0,"I've had a rough day, want to get my mind off things.",have,15
hit:6018_conv:12036_uttr:1,1,One of my coworkers got the promotion I'd been vying for.,get,13
hit:12073_conv:24146_uttr:1,0,My coworker recently got the big promotion I was working so hard towards.,get,14
hit:7207_conv:14415_uttr:1,0,My friend got promoted last week after one month of working,promote,11
hit:11651_conv:23302_uttr:1,0,My coworker got the job promotion that I had been working so hard to get.,get,16
hit:7169_conv:14338_uttr:1,0,My friend got promoted at work,promote,6
hit:2272_conv:4545_uttr:1,1,My friend got promoted at work last week but I was not.,promote,13
hit:1781_conv:3562_uttr:1,0,I just got a promotion at work.,get,8
hit:3857_conv:7715_uttr:1,1,I got a promotion in work.,get,7
cexayn,1,I’ve sort of been offered a promotion above one of my closest friends.,offer,15
czqwss,0,I got the promotion at work,get,6
