id,summarized,text,root,length,emotion
mszzsi,0,I’m leaving my toxic workplace for good,leave,8,angry
mszk63,0,A stranger asked me for my music playlist,ask,8,questioning
msyx5x,0,I got stood up today,stand,5,proud
msyau9,0,I wrote a letter to my ex,write,7,sentimental
mswiu5,1,I feel like a led balloon sometimes.,feel,8,embarrassed
msttbv,1,Any idea helps!,help,4,suggesting
mssvvf,0,I don't feel like belonging to any country,feel,9,lonely
msqrf5,0,My mom pronounces quinoa and Keanu the same way.,pronounce,10,agreeing
msqbzb,0,I love America.,love,4,joyful
msk2or,0,My mom just asked and I couldn't lie,ask,9,guilty
msidyl,0,"Recently, I’ve been keeping a journal.",keep,9,sentimental
msi83j,1,Lol one day I’ll hit the mark.,hit,9,hopeful
mshv7b,0,I feel stuck in life.,feel,6,sad
msamh6,0,Help kicking a bad habit for good,help,7,consoling
msaj0g,0,Let's talk about casual shower thoughts.,let,8,suggesting
ms9wqp,0,I signed with a billion dollar company today,sign,8,excited
ms9mrb,0,"I can suddenly wake up early, no problem",wake,9,content
ms99mw,0,Gave a couple with a newborn €100 today,give,9,grateful
ms6jlv,0,Asked my daughter how she knew I loved her,ask,9,faithful
mrzxtx,1,I found something that made me feel good.,find,9,proud
mryrpw,0,I just got a raise!,get,6,excited
mrvgbk,0,I got contacts for the first time today!,get,9,excited
mru2wi,0,I just need someone to talk to,need,7,sad
mrtq2c,0,"I made ""homemade chicken nuggets""",make,7,proud
mrr2ls,0,He said it was useless...,say,6,angry
mrqu5z,0,I may need back surgery,need,5,hopeful
mrqjzv,0,I got rejected for the first time.,reject,8,devastated
mrl6n0,0,Just got first aparment.,get,5,proud
mrkqbu,0,I'm losing my hair.,lose,6,sad
mrkdjn,1,It makes me feel incredibly stupid.,make,7,embarrassed
mrhltx,0,I don't know how to feel about this...,know,10,sympathizing
mren97,1,Jennifer Lawrence really brought Katniss to life.,bring,8,impressed
mrbqou,0,Ate a banana with the peel,eat,6,content
mr8lry,0,I’m actually happy again.,be,6,joyful
mr8i01,0,Someone actually wanted to purchase my creations,want,7,surprised
mr8bdh,0,suggest me a smart phone,suggest,5,suggesting
mr858a,0,I got my first round of the vaccine!,get,9,excited
mr80st,1,I miss my friends and I feel isolated.,miss,9,lonely
mr7yqc,0,I’m going to make myself a better person,go,9,hopeful
mr5xfe,0,I have been feeling a lot anxious lately,feel,8,anxious
mr5m9h,0,I turned down a promotion today,turn,6,disappointed
mnjwxt,0,Kinda worried if I fucked it up,worry,7,apprehensive
mnj80q,0,Feeling a weight lifted of my chest.,feel,8,joyful
mni5au,0,Enforced a boundary without losing my temper or losing sleep,enforce,10,furious
mng5tt,1,If I give and help first..,give,7,hopeful
mnfrde,0,I’m almost done with college!!,do,8,proud
mnem1o,1,This woman wanted to come look at my car.,want,10,excited
mncxz6,0,Voice conversations with multiple people require assertiveness,require,7,prepared
mncern,0,Just sitting here at 2 AM with my puppy,sit,9,joyful
mnc0jf,0,No I’m not sharing my bed tonight,share,8,trusting
mnbvqo,1,I always contact people.,contact,5,trusting
mn918u,0,I got accepted into my college of choice!,accept,9,excited
mn8j6p,1,Nothing sounds good.,sound,4,sad
mn7lnn,0,I’m making six figures,make,5,jealous
mn5v3w,0,I miss seeing people smile.,miss,6,sentimental
mn5h3i,0,I think you're awesome!,think,6,acknowledging
mn5flq,0,I bought a pen.,buy,5,confident
mn3yt6,0,Vaccinated and didn't even know it.,vaccinate,8,ashamed
mn24cc,0,Lots of change is coming for me,come,7,hopeful
mn1dxs,0,I'm getting high every day,get,6,confident
mmz20g,0,I'm going to be able to graduate!,go,9,confident
mmuq3w,0,"I just turned 28, two days ago",turn,8,surprised
mmu7xm,0,Thinking about streaming,think,3,hopeful
mmssff,0,I killed myself during the war,kill,6,sad
mmkc76,0,I jogged two miles today !,jog,6,proud
mmk1e3,0,finally getting to the correct spot,get,6,prepared
mmk05d,0,I remembered what it’s like to feel happy,remember,9,sentimental
mmjurv,1,I feel like I'm philosophically or existentially intelligent.,feel,10,confident
mmh0qm,1,I woke up today and felt weird.,wake,8,surprised
mmgwkv,0,Took a leave from work but they still message me,take,10,disappointed
mmdpln,1,Somehow it works better on me than regular deodorant.,work,10,confident
mmdcmm,0,Let’s talk movies!,let,5,excited
mm8eh4,0,I am trying to delve deeper into philosophy,try,8,hopeful
mm7i4d,0,I'm planning on becoming a Psychologist,plan,7,hopeful
mm77m5,0,Someone is leaving their garbage on our property.,leave,9,angry
mm57cl,0,I don't feel pretty enough,feel,6,ashamed
mm4y51,0,My mom isn't coming for my birthday anymore.,come,10,sad
mlzi9x,1,I wish I could normally sleep like that.,wish,9,jealous
mlyckh,0,One of my cats is obsessed with my dog.,obsess,10,jealous
mlwit3,1,Turns out it makes a huge difference.,turn,8,encouraging
mlv1lf,0,Finals week is taking a toll on me,take,8,sad
mltgdp,0,It’s my birthday in 30 minutes from now,’,9,hopeful
mlr0ro,0,2nd Covid shot 12 hours ago,shoot,6,sad
mlqcie,1,It makes me miserable.,make,5,sad
mlpxem,0,Coaching gymnastics at my childhood gym,coach,6,nostalgic
mlmulj,0,i wanna give him an answer,give,6,hopeful
mllvwg,1,It makes me feel like I can actually cope.,make,10,content
mlkb85,0,Talking/Conversation,talk,3,faithful
mlka05,1,"anyway, Ive always really struggled with friends.",struggle,10,sad
mljrlj,1,It happens pretty often.,happen,5,neutral
mljk0m,0,F19 looking for interesting conversationalists,look,5,hopeful
mljivt,1,Feel free to share your experiences and opinions!,feel,9,encouraging
mlfhl7,0,I haven't smoked weed in over a month!,smoke,10,joyful
mlf0qg,1,I feel sore everywhere.,feel,5,disgusted
mle2sb,0,I’ve stopped biting my nails!,stop,7,proud
mldntw,0,Feeling a bit lonely...,feel,5,lonely
mlc84o,0,I hit 1k karma,hit,4,sentimental
mlawt7,1,I really love driving a manual car.,love,8,jealous
mlapxa,1,That happened last year and before.,happen,7,neutral
mlabd1,0,I need advice to snap out of my brainfog.,need,10,afraid
mla8qb,1,I need to get back there to that place.,need,10,sentimental
mla2n2,0,the push towards electric vehicles makes me sad,make,8,sad
mla16q,0,Finally moving out makes me feel anxious,make,7,anxious
ml8uvy,0,I kissed my girlfriend!,kiss,5,excited
ml6t87,0,Wish me luck for my job interview,wish,7,wishing
ml6c39,1,Make sure you hug your animals.,make,7,caring
ml67rs,0,Excited about being financially independent,excite,5,excited
ml4qm5,0,"Got my first ever ""shoot my shot DM""",got,10,proud
ml2lmh,0,I'm having a hard time connecting with myself,have,9,sad
ml2h8w,0,Thank you for your tax dollars,thank,6,grateful
ml2f5q,0,I'm having a really good day today,have,8,joyful
ml2f5n,0,I'm having a really good day today,have,8,joyful
ml27hg,1,I love this show.,love,5,joyful
ml27as,0,Really Enjoying living in my own apartment,enjoy,7,content
mkzgmd,0,I Think I Finally Understand “Vibing”.,think,9,confident
mkz9uh,0,I hate door handles,hate,4,annoyed
mkye9k,0,I started a convo with a fake account,start,8,guilty
mkxxsz,1,I don't know how people are this good.,know,10,surprised
mkxpgz,0,I saved a bumblebee today,save,5,grateful
mkvfmh,1,You learn something new everyday,learn,5,encouraging
mkuluj,0,Y’all should see how nice rich kids have it,see,9,jealous
mktt76,0,I wish I could drink water lying down,wish,8,guilty
mktfcc,0,"Hey stranger, I hope you’re doing well!",hope,10,encouraging
mks18p,0,Tell me a ghost story.,tell,6,suggesting
mkrrt8,1,Betrayed by my childhood friends...,betray,6,faithful
mkrghn,0,Quantum Theory proved with Dicks,prove,5,agreeing
mkp8v6,0,I really hate being a late bloomer,hate,7,jealous
mkp1mw,0,I think I hate my grandmother,think,6,sentimental
mkocr0,0,Talking with someone who actually listens,talk,6,faithful
mknes2,0,Tell me what's happening around you!☺️,tell,9,questioning
mknb2v,0,I've gone one week without social media!,go,9,excited
mkmjjg,0,I finally managed to say no!,manage,7,hopeful
mkllok,0,"I finally met my ""sleep paralysis demon""!",meet,10,excited
mkkgng,0,I feel terrible about exams,feel,5,guilty
mkj785,0,"Topic came up recently, I say drink.",say,9,ashamed
mkj6cy,1,Pretty daft move tbh.,move,5,disgusted
mkhvcx,0,I got so drunk at Easter Dinner,get,7,embarrassed
mkhezd,0,Breaking off a bad friendship,break,5,sad
mkgp0e,1,Let's chat.,let,4,encouraging
mkf3g9,0,Working an overnight shift,work,4,prepared
mkew75,1,I always thought it's a common cold.,think,9,neutral
mkeoki,1,I just feel I need to vent.,feel,8,sympathizing
mkcqr9,0,Today a French bulldog hopped into my car.,hop,9,surprised
mkcfm5,1,This feature has saved me from embarrassment countless times.,save,10,proud
mka6js,1,Hope this one gets posted.,hope,6,encouraging
mk7400,0,Microwave Your Skittles,microwave,3,prepared
mk5qii,1,it started pretty okay.,start,5,content
mk50pr,0,"20 years old, keep crying at oral exam !",keep,10,sad
mk2woc,0,Billie is making me like pop music again,make,8,nostalgic
mk23xt,0,Write your favorite line/bar in a song,write,9,nostalgic
mjwq5e,0,I can't stop biting my nails,stop,7,annoyed
mjw5a0,0,"Ants helped me cope today , thank you ants",thank,9,grateful
mjq4m6,0,Got a bit lonelier out here.,got,7,lonely
mjog0e,0,I enjoy drinking alone,enjoy,4,content
mjnfef,0,I can’t master any skills,master,6,ashamed
mjmhw5,0,Debating If to get a vehicle,debate,6,apprehensive
mjmapi,0,I woke up right next to a *WASP*,wake,10,surprised
mjlwwk,1,I even hated my mom at times.,hate,8,guilty
mjlvto,0,I took the Covid-19 vaccine today,take,6,prepared
mjiwz9,0,Cooked any way you like,cook,5,content
mjh3zl,1,I feel so lonely that it’s getting unbearable.,feel,10,lonely
mjgyj8,0,I feel good and productive about myself today :),feel,9,proud
mjgroc,0,Just joined yesterday.,join,4,excited
mjcvk9,0,It feels strange after waking from an afternoon nap,feel,9,anxious
mjctis,0,I’m so stressed about my financial situation,be,8,anxious
mjcgkl,1,I see the text and panic.,see,7,afraid
mj9v5n,0,Tell me about your life,tell,5,questioning
mj9h9b,0,SHREK 2 should’ve done this,do,6,guilty
mj92u9,0,I've gained 15kg/35lbs since January,gain,6,anticipating
mj7xuk,0,I finally moved out of home at 25!,move,9,proud
mj7v68,0,My gf of 2 years dumped me,dump,7,sad
mj7hfh,0,I lost my will to learn something new!,lose,9,devastated
mj7955,1,Simply comment the first reason that comes to mind.,comment,10,questioning
mj6z6n,0,Just learned my first guitar solo !!!,learn,9,proud
mj6mw9,0,Bought a bed frame and headboard for my mattress,buy,9,prepared
mj3hv9,0,I got my first career!,get,6,proud
mj2ppz,0,I just purchased my first snake,purchase,6,excited
mj1ejw,1,I dropped pasta into the sink.,drop,7,embarrassed
miyp2w,0,I feel that my life is complete,feel,7,content
miykhx,0,Practicing English,practice,2,confident
mivog5,1,The loud vocal gymnastic bitches can GTFO,gtfo,7,angry
mivnu0,0,I just really want online friends,want,6,caring
mivn1r,0,Going to miss wearing masks...,go,6,sentimental
mivgjh,0,I will never take this mask off again,take,8,trusting
miqggj,0,I really love talking to people,love,6,joyful
mhntzs,0,I saw something unexpectedly beautiful but also kind of sad,see,10,sad
mhn9ua,0,Adopt a persona,adopt,3,confident
mhlsf3,0,Feeling like an adult for once In my life,feel,9,proud
mhle4d,1,I hate getting help.,hate,5,sad
mhl5hg,0,I'm getting better at cooking!,get,7,proud
mhj091,0,i planted some seeds!,plant,5,proud
mhi6d9,0,Let's talk about our Wednesday night vibe,let,8,suggesting
mhhz3r,0,It’s the last hours of my cake day,’,9,sentimental
mhf5b0,1,I love April Fool pranks.,love,6,joyful
mhevlr,0,My university just announced an in person graduation,announce,8,excited
mhb5bn,1,Weighing out streaming service options.,weigh,6,suggesting
mhan3j,1,The past weeks I gave up on socializing.,give,9,sad
mh6o3k,1,let's talk bout overthinking today.,let,7,suggesting
mh3p2t,1,I’m getting married tomorrow.,marry,6,excited
mh00a3,0,I spent some my teen years not listening to music,spend,10,sad
mgz7u4,0,Tell Me Your Good/Happy News,tell,7,wishing
mgvypl,0,help pls,help,2,suggesting
mgtrer,1,I want to be a kid again.,want,8,hopeful
mgtpz8,0,Sometimes I find myself thinking about an old friend.,find,10,sentimental
mgsu8k,1,Wish u all have good day every day.,wish,9,wishing
mgqvrj,0,I saw my friends today after 3 months,see,8,joyful
mgq50w,0,I passed my second year oral exam for my PhD,pass,10,proud
mgok92,0,Trying to write a comic.,try,6,confident
mgo3k1,0,I’m having an interview tomorrow!,have,7,anticipating
mgnyri,1,TlDR: can't remember shit.,remember,7,neutral
mgmwbd,0,"As a kid, I used to love untangling cables",use,10,nostalgic
mglz7g,1,Going to college feels like sure!,feel,7,confident
mglq10,0,My cat bit me for the first time today.,bite,10,terrified
mgkn6w,0,I am losing my mind!,lose,6,anxious
mgge7m,0,Creating a virtual character,create,4,confident
mgfqwi,0,I think my neighbor stole my amazon package.,think,9,apprehensive
mgfl7d,0,I rick rolled 105 people today,roll,6,proud
mgctgj,0,Just finished my first painting: It’s awful,’,9,disappointed
mgcr3d,0,Just finished my first painting: It’s awful,’,9,disappointed
mgb50x,1,Share whatever you feel like,share,5,suggesting
mg8umm,0,I desperately want to hug a bear,want,7,caring
mg8ghp,1,I also sleep a lot.,sleep,6,content
mg44oq,1,Not sound like videos or music.,sound,7,annoyed
mg3wxh,0,Made a guy smile in my zoom meeting,make,8,impressed
mfzm9w,0,I Have found a song after 10 years,find,8,proud
mfy9pq,0,I'm getting my first Amazon delivery today.,get,9,excited
mfvo06,0,I consider myself to have a superpower.,consider,8,confident
mfufv7,1,I went on a self care day.,go,8,sentimental
mfsm1n,0,Lying to myself,lie,3,guilty
mfqab4,0,Starting my 3k mile move today,start,6,anticipating
mfm1qq,1,I am planning on going full on bald,plan,8,anticipating
mfioly,0,Waiting to get my haircut in rural Japan.,wait,9,anticipating
mfi6e6,1,Let's have an internet checkpoint!,let,7,prepared
mfhweo,0,I just learned about Marxism,learn,5,surprised
mfh47g,1,I keep getting calls from Del Taco and Taco Bell,keep,10,anticipating
mfgw9k,0,I’m pretty tipsy.,be,5,embarrassed
mfgl39,0,Asking for people that have friends with ADHD,ask,8,questioning
mfgjzm,0,I’m dealing with intense withdrawal symptoms,deal,7,sad
mfghu7,0,My small business is finally taking off!!,take,9,proud
mff13r,0,Idk how to feel right now...,feel,7,questioning
mfebeb,0,For non native English speakers read this.,read,8,agreeing
mfea7c,0,check in,check,2,wishing
mfdfdc,1,Social networks are boring me.,bore,6,sad
mfbe89,0,Take advantage of unexpected opportunities that come your way,take,9,hopeful
mfb9nb,0,Someone asked me for food today in a parking lot,ask,10,angry
mfb3y6,0,Realized I’ve been toxic,realize,5,disgusted
mf54l8,0,deleting the facebook app has improved my mental health,improve,9,consoling
mf522s,0,Putting your two weeks in is so nerve-racking,put,10,anxious
mf4xmq,0,I finally decided to start using a password manager,decide,9,prepared
mf4jmh,1,The latter numbers represent formative times.,represent,7,nostalgic
mf47xe,0,Looking to make a female best friend,look,7,hopeful
mf154h,0,Confused as to why someone would do this,confuse,8,apprehensive
mf13v1,0,My plant got three new buds!,get,7,joyful
mezgl2,0,Nothing beats Mom’s cooked dinner,cook,6,content
mex55g,0,I just started watching the Harry Potter movies!,start,9,excited
mew4if,0,i feel pretty for the first time in my life,feel,10,proud
mes79w,0,It’s my second cake day!!,’,8,joyful
meq1sx,0,If these walls come down,come,5,hopeful
